000812.XSHE	2022-03-01	197.1862	3.1637	4.5128	-91.7394
000813.XSHE	2022-03-01	48.5723	1.4837	12.9345	-40.0364
000815.XSHE	2022-03-01	223.37599999999998	4.5908	7.9873	-197.4205
000816.XSHE	2022-03-01	137.3759	2.6489999999999996	2.281	33.0539
000818.XSHE	2022-03-01	35.9154	7.4224	5.4638	1707.4796
000819.XSHE	2022-03-01	71.6905	4.3334	2.2053	-59.2142
000820.XSHE	2022-03-01	1.2631	35.7193	-6890.9272	56.3429
000821.XSHE	2022-03-01	68.4808	2.4871	1.9938	14.6397
000822.XSHE	2022-03-01	23.3893	1.9257	1.3034	-18.848
000823.XSHE	2022-03-01	17.6576	1.7524	1.068	16.3489
000825.XSHE	2022-03-01	5.6492	1.1826	0.4493	-104.7472
000826.XSHE	2022-03-01	-1.0057	0.7534	0.7490000000000001	-11.6953
000828.XSHE	2022-03-01	10.9317	1.3532	7.5182	-8.4722
000829.XSHE	2022-03-01	75.5482	6.278	0.2347	13.9344
000830.XSHE	2022-03-01	8.0496	1.883	1.0998	103.9827
000831.XSHE	2022-03-01	104.4983	13.6896	13.270999999999999	20.477
000833.XSHE	2022-03-01	10.2618	1.2943	1.3986	8.9769
000835.XSHE	2022-03-01	-2.5337	-0.7535	-303.3006	-622.3399
000836.XSHE	2022-03-01	-103.0944	2.9949	3.0119	-67.9897
000837.XSHE	2022-03-01	31.2703	2.8191	1.7355	19.6509
000838.XSHE	2022-03-01	313.8744	4.6872	1.5971	-31.6782
000839.XSHE	2022-03-01	-3.5052	2.1273	4.3348	-184.1782
000848.XSHE	2022-03-01	20.0788	4.8858	4.5791	54.6013
000850.XSHE	2022-03-01	14.3767	0.9777	1.2675	156.9687
000851.XSHE	2022-03-01	435.6977	1.5998	0.8551	19.2234
000852.XSHE	2022-03-01	207.7266	2.9064	0.8486	-142.912
000856.XSHE	2022-03-01	176.5907	6.0021	0.7891	-21.3654
000858.XSHE	2022-03-01	32.9812	8.0617	11.6173	51.8982
000859.XSHE	2022-03-01	24.9206	2.6603	3.7151	14.9791
