,code,day,pe_ratio,pb_ratio,ps_ratio,pcf_ratio
323,000802.XSHE,2017-09-29,21.021,2.634,12.356,29.8134
324,000803.XSHE,2017-09-29,-47.7698,85.1205,73.4511,-683.6899
325,000806.XSHE,2017-09-29,-801.3651,5.766,9.5695,-116.3961
326,000807.XSHE,2017-09-29,175.1381,3.8485,1.9498,31.6134
327,000809.XSHE,2017-09-29,-14.168,1.2017,168.5907,-16.6865
328,000810.XSHE,2017-09-29,42.7816,4.1181,1.8459999999999999,-188.7537
329,000811.XSHE,2017-09-29,22.4581,2.4622,1.9522,26.8146
330,000812.XSHE,2017-09-29,122.04,4.3324,3.5802,113.0998
331,000813.XSHE,2017-09-29,23.3664,4.2195,11.1303,8.9366
332,000815.XSHE,2017-09-29,231.1871,5.6588,16.0187,-11.0625
333,000816.XSHE,2017-09-29,-48.2915,3.0217,5.7462,-71.1845
334,000818.XSHE,2017-09-29,49.1382,3.4731,2.6654,135.2703
335,000819.XSHE,2017-09-29,513.2612,6.7585,3.6083,-327.1572
336,000820.XSHE,2017-09-29,41.9207,19.6375,17.9727,29.5284
337,000821.XSHE,2017-09-29,47.9021,3.4333,4.4027,22.7366
338,000822.XSHE,2017-09-29,56.7482,4.2863,2.5051,130.2194
339,000823.XSHE,2017-09-29,36.2885,2.7057,2.113,341.1173
340,000825.XSHE,2017-09-29,18.2241,1.2478,0.4453,66.8835
341,000826.XSHE,2017-09-29,32.3558,3.0398,4.9537,22.3072
342,000828.XSHE,2017-09-29,14.8944,2.5206,9.6777,-100.5206
343,000829.XSHE,2017-09-29,37.6037,4.3674,0.28300000000000003,9.6696
344,000830.XSHE,2017-09-29,24.1062,2.5065,1.2414,-497.6883
345,000831.XSHE,2017-09-29,178.8662,7.1934,22.6288,-55.3858
346,000833.XSHE,2017-09-29,72.4446,2.0593,3.0666,27.8164
347,000835.XSHE,2017-09-29,71.6172,8.0651,12.1941,90.0603
348,000836.XSHE,2017-09-29,102.2912,4.2335,3.6813,-67.1288
349,000837.XSHE,2017-09-29,70.17699999999999,1.8414,1.7759,43.9675
350,000838.XSHE,2017-09-29,295.7625,4.8466,6.9219,480.7676
351,000839.XSHE,2017-09-29,145.7083,6.449,9.6421,73.171
352,000848.XSHE,2017-09-29,24.351999999999997,5.4424,4.7041,124.1887
353,000850.XSHE,2017-09-29,142.6766,1.0542,2.2501,33.18
354,000851.XSHE,2017-09-29,79.9237,2.3682,0.8366,28.443
355,000852.XSHE,2017-09-29,-9.89,5.0259,2.4196,136.172
356,000856.XSHE,2017-09-29,-237.3545,21.1782,4.3688,-26.7331
357,000858.XSHE,2017-09-29,27.6308,4.471,8.0802,55.9316
358,000859.XSHE,2017-09-29,74.2887,2.6254,3.1489,15.467
359,000860.XSHE,2017-09-29,26.3953,1.9037,0.9808,27.3682
360,000861.XSHE,2017-09-29,47.501000000000005,2.8741,4.2601,-18.7311
361,000862.XSHE,2017-09-29,81.1847,2.0208,4.3163,14.4398
362,000863.XSHE,2017-09-29,29.4268,1.5259,2.7656,-10.8647
363,000868.XSHE,2017-09-29,2175.5259,5.6631,1.3665,-66.2431
364,000869.XSHE,2017-09-29,26.8456,3.0107,5.4325,-62.0221
